,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
0,Atlanta Hawks,2012-13,Home,25,16,0.61,595,856,0.695,15,15,15,27,24,28
1,Boston Celtics,2012-13,Home,27,13,0.675,675,889,0.759,13,12,13,20,21,15
2,Brooklyn Nets,2012-13,Home,26,15,0.634,724,1003,0.722,14,14,14,11,10,25
3,Charlotte Bobcats,2012-13,Home,15,26,0.366,823,1076,0.765,28,28,28,3,6,11
4,Chicago Bulls,2012-13,Home,24,17,0.585,685,892,0.768,16,16,16,17,20,10
5,Cleveland Cavaliers,2012-13,Home,14,27,0.341,707,933,0.758,29,29,29,13,13,16
6,Dallas Mavericks,2012-13,Home,24,17,0.585,678,868,0.781,16,16,16,19,23,4
7,Denver Nuggets,2012-13,Home,38,3,0.927,766,1089,0.703,1,1,1,7,4,27
8,Detroit Pistons,2012-13,Home,18,23,0.439,638,918,0.695,25,25,25,25,15,29
9,Golden State Warriors,2012-13,Home,28,13,0.683,704,902,0.78,12,12,12,16,16,6
10,Houston Rockets,2012-13,Home,29,12,0.707,826,1084,0.762,10,10,10,2,5,13
11,Indiana Pacers,2012-13,Home,30,11,0.732,752,1016,0.74,8,8,8,8,7,20
12,Los Angeles Clippers,2012-13,Home,32,9,0.78,656,901,0.728,5,5,5,23,18,24
13,Los Angeles Lakers,2012-13,Home,29,12,0.707,748,1124,0.665,10,10,10,9,1,30
14,Memphis Grizzlies,2012-13,Home,32,9,0.78,644,828,0.778,5,5,5,24,26,7
15,Miami Heat,2012-13,Home,37,4,0.902,780,1008,0.774,2,2,2,6,9,8
16,Milwaukee Bucks,2012-13,Home,21,20,0.512,662,886,0.747,21,21,21,22,22,18
17,Minnesota Timberwolves,2012-13,Home,20,21,0.488,805,1093,0.737,23,23,23,4,2,22
18,New Orleans Hornets,2012-13,Home,16,25,0.39,571,767,0.744,27,27,27,28,28,19
19,New York Knicks,2012-13,Home,31,10,0.756,685,899,0.762,7,7,7,17,19,14
